Orthogroup	schistosoma_mansoni	s.mekongi
OG0000203	Smp_168040.1	KAK4472530.1, KAK4472529.1
OG0000204	Smp_336300.1	KAK4468843.1, KAK4468846.1
OG0000204	Smp_309060.1, Smp_331260.1, Smp_089330.1, Smp_089320.1, Smp_170890.2	KAK4468847.1
OG0000204	Smp_170890.1, Smp_089370.1	KAK4468400.1, KAK4468845.1
OG0000205	Smp_129770.1, Smp_129770.2	KAK4475157.1
OG0000206	Smp_031920.1	KAK4474171.1
OG0000207	Smp_137320.1	KAK4474093.1
OG0000207	Smp_319310.1, Smp_319310.2	KAK4474090.1
OG0000207	Smp_137310.1	KAK4474092.1
OG0000207	Smp_178420.1, Smp_137300.1	KAK4474089.1, KAK4474091.1
OG0000208	Smp_312880.1	KAK4470297.1
OG0000209	Smp_214240.1, Smp_128390.1	KAK4476246.1
OG0000210	Smp_143690.1, Smp_143690.2	KAK4468068.1
OG0000211	Smp_033050.1	KAK4476043.1
OG0000212	Smp_123940.1	KAK4473242.1
OG0000213	Smp_333170.1	KAK4474754.1
OG0000214	Smp_134410.1, Smp_134410.3	KAK4475773.1
OG0000215	Smp_327230.1, Smp_327220.1, Smp_327240.1, Smp_093620.1	KAK4471161.1
OG0000217	Smp_343380.1	KAK4472243.1
OG0000218	Smp_244280.1	KAK4474847.1
OG0000219	Smp_162080.1	KAK4471869.1
OG0000220	Smp_329410.1, Smp_126840.1	KAK4470648.1
OG0000221	Smp_165820.1	KAK4476180.1
OG0000221	Smp_153140.1	KAK4467410.1, KAK4475529.1
OG0000222	Smp_313450.1	KAK4470706.1
OG0000223	Smp_159100.1	KAK4476292.1
OG0000224	Smp_153770.1	KAK4475913.1
OG0000225	Smp_017730.1	KAK4475585.1
OG0000226	Smp_124820.1	KAK4474133.1
OG0000227	Smp_122680.1	KAK4471428.1
OG0000228	Smp_104030.1	KAK4473445.1
OG0000229	Smp_307880.1	KAK4472065.1
OG0000230	Smp_308600.1, Smp_308590.1	KAK4471407.1
OG0000231	Smp_333830.1, Smp_170490.1, Smp_344860.1, Smp_327960.1, Smp_327950.1	KAK4469298.1, KAK4469300.1
OG0000234	Smp_337850.1	KAK4473948.1
OG0000235	Smp_342880.1, Smp_342880.2	KAK4467350.1, KAK4475661.1, KAK4467339.1, KAK4467303.1, KAK4475660.1
OG0000236	Smp_147620.1	KAK4469919.1
