Orthogroup	schistosoma_japonicum	trichobilharzia_regenti
OG0000066	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3	TREG1_47140.8, TREG1_47140.9, TREG1_47140.10, TREG1_47140.11, TREG1_47140.2, TREG1_47140.4, TREG1_47140.7, TREG1_47140.6, TREG1_47140.1, TREG1_47140.3, TREG1_47140.5, TREG1_47140.12
OG0000067	EWB00_009328.1, EWB00_009328.2, EWB00_009328.4, EWB00_009328.3	TREG1_91260.1
OG0000068	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3	TREG1_71380.1
OG0000068	EWB00_000572	TREG1_131340.1, TREG1_131340.2
OG0000068	EWB00_004327	TREG1_55730.1
OG0000068	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2	TREG1_49690.1
OG0000069	EWB00_002487	TREG1_21770.1, TREG1_21780.1
OG0000070	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2	TREG1_42860.1
OG0000071	EWB00_001786	TREG1_120540.2, TREG1_120540.7, TREG1_120540.4, TREG1_120540.1, TREG1_120540.10, TREG1_120540.11, TREG1_120540.13, TREG1_120540.3, TREG1_120540.8, TREG1_120540.9, TREG1_120540.5, TREG1_120540.6, TREG1_120540.12, TREG1_120550.3, TREG1_120550.6, TREG1_120550.1, TREG1_120550.2, TREG1_120550.4, TREG1_120550.5, TREG1_120550.7, TREG1_53830.1, TREG1_53830.3, TREG1_53830.4, TREG1_53830.5, TREG1_53830.6, TREG1_53830.7, TREG1_53830.2, TREG1_53830.8, TREG1_53830.9, TREG1_61220.1, TREG1_61220.2
OG0000072	EWB00_001684	TREG1_127380.1, TREG1_127380.13, TREG1_127380.12, TREG1_127400.1, TREG1_127380.11, TREG1_127380.8, TREG1_127380.18, TREG1_127380.16, TREG1_127380.19, TREG1_127380.17, TREG1_127380.10, TREG1_127380.14, TREG1_127380.5, TREG1_127380.6, TREG1_127390.1, TREG1_127380.2, TREG1_127380.3, TREG1_127380.4, TREG1_127380.7, TREG1_127380.9, TREG1_127380.15
