Orthogroup	schistosoma_japonicum	schistosoma_margrebowiei
OG0000080	EWB00_004899.1, EWB00_004899.2	SMRG1_44390.1, SMRG1_44390.9, SMRG1_44390.11, SMRG1_44390.12, SMRG1_44390.7, SMRG1_44390.8, SMRG1_44390.6
OG0000081	EWB00_006525, EWB00_001511, EWB00_009316, EWB00_007773	SMRG1_46070.1, SMRG1_69350.1, SMRG1_97400.1, SMRG1_68870.1, SMRG1_94960.1, SMRG1_97780.1, SMRG1_38950.1, SMRG1_35080.1, SMRG1_60660.1, SMRG1_64790.1, SMRG1_80190.1, SMRG1_88170.1, SMRG1_89010.1, SMRG1_62550.1, SMRG1_59120.1, SMRG1_63220.1, SMRG1_24030.1, SMRG1_50930.1, SMRG1_75350.1, SMRG1_3790.1
OG0000082	EWB00_009477	SMRG1_10080.1
OG0000085	EWB00_004315.1, EWB00_004315.2, EWB00_004315.3, EWB00_004315.4, EWB00_004315.5	SMRG1_36520.1, SMRG1_36520.4, SMRG1_36520.6, SMRG1_36520.3, SMRG1_36520.5, SMRG1_36520.2, SMRG1_36520.8, SMRG1_36520.7
OG0000086	EWB00_004530	SMRG1_73820.11, SMRG1_73820.4, SMRG1_73820.12, SMRG1_73820.2, SMRG1_73820.10, SMRG1_73820.3, SMRG1_73820.5, SMRG1_73820.6, SMRG1_73820.8, SMRG1_73820.7, SMRG1_73820.1, SMRG1_73820.9
OG0000087	EWB00_010661	SMRG1_53520.2, SMRG1_53520.9, SMRG1_53520.7, SMRG1_53520.1, SMRG1_53520.8, SMRG1_53520.3, SMRG1_53520.5, SMRG1_53520.4, SMRG1_53520.6
OG0000088	EWB00_007313	SMRG1_2980.1
OG0000088	EWB00_008639.2, EWB00_008639.1, EWB00_008639.3	SMRG1_2970.1
OG0000091	EWB00_010764.1, EWB00_010764.2	SMRG1_48500.1, SMRG1_48500.2, SMRG1_48500.3, SMRG1_48500.5, SMRG1_48500.7, SMRG1_48500.8, SMRG1_48500.9, SMRG1_48500.4, SMRG1_48500.6
OG0000092	EWB00_007194.1, EWB00_007194.2	SMRG1_2010.1, SMRG1_2020.1
OG0000092	EWB00_010016.2, EWB00_010016.3, EWB00_010016.4, EWB00_010016.5, EWB00_010016.1	SMRG1_12690.1, SMRG1_12690.3, SMRG1_12690.2, SMRG1_12690.4
OG0000093	EWB00_003936	SMRG1_40250.1
OG0000094	EWB00_009097.1, EWB00_009097.2	SMRG1_8140.1, SMRG1_8140.2
OG0000095	EWB00_011141.2, EWB00_011141.1, EWB00_011141.3	SMRG1_62070.6, SMRG1_62070.1, SMRG1_62070.11, SMRG1_62070.2, SMRG1_62070.3, SMRG1_62070.7, SMRG1_62070.8, SMRG1_62070.10, SMRG1_62070.14, SMRG1_62070.9, SMRG1_62070.4, SMRG1_62070.5, SMRG1_62070.12, SMRG1_62070.13
OG0000096	EWB00_006828.2, EWB00_006828.3, EWB00_006828.4, EWB00_006828.1, EWB00_006828.5	SMRG1_35430.10, SMRG1_35430.3, SMRG1_35430.7, SMRG1_35430.6, SMRG1_35430.5, SMRG1_35430.11, SMRG1_35430.4, SMRG1_35430.1, SMRG1_35430.8, SMRG1_35430.9, SMRG1_35430.2
OG0000097	EWB00_007768	SMRG1_6670.1
OG0000098	EWB00_011356	SMRG1_41340.1
OG0000098	EWB00_009825, EWB00_009827.1, EWB00_009827.2	SMRG1_67360.1
OG0000099	EWB00_006234.2, EWB00_006234.1, EWB00_006234.3	SMRG1_68280.1
OG0000099	EWB00_002775.1, EWB00_002775.2, EWB00_002775.3	SMRG1_71310.2, SMRG1_71310.3, SMRG1_71310.6, SMRG1_71310.5, SMRG1_71310.1, SMRG1_71310.4
OG0000102	EWB00_010834.2, EWB00_010834.1	SMRG1_5720.1, SMRG1_5720.2, SMRG1_5720.3, SMRG1_5720.4
OG0000102	EWB00_010035.1, EWB00_010035.3, EWB00_010035.2	SMRG1_59050.3, SMRG1_59050.1, SMRG1_59050.4, SMRG1_59050.2
OG0000103	EWB00_009133.1, EWB00_009133.2, EWB00_009133.3	SMRG1_74810.4, SMRG1_74810.5, SMRG1_74810.6, SMRG1_74810.8, SMRG1_74810.3, SMRG1_74810.2, SMRG1_74810.9, SMRG1_74810.7, SMRG1_74810.1
