Orthogroup	schistosoma_japonicum	s.mekongi
OG0000182	EWB00_005564.3, EWB00_005564.1, EWB00_005564.2	KAK4471145.1
OG0000182	EWB00_000643	KAK4472799.1
OG0000183	EWB00_005958.1, EWB00_005958.2	KAK4472516.1
OG0000184	EWB00_006467.1, EWB00_006467.2	KAK4469199.1
OG0000184	EWB00_006468	KAK4469198.1
OG0000185	EWB00_005969.1, EWB00_005969.2	KAK4472507.1
OG0000186	EWB00_002720	KAK4470241.1, KAK4470242.1
OG0000187	EWB00_006798.2, EWB00_006798.1, EWB00_006798.3	KAK4469682.1
OG0000188	EWB00_010904	KAK4472612.1
OG0000189	EWB00_003827.2, EWB00_003827.1, EWB00_003827.3, EWB00_003827.4	KAK4476062.1
OG0000190	EWB00_007758.3, EWB00_007758.1, EWB00_007758.2	KAK4469926.1
OG0000191	EWB00_004926	KAK4473909.1
OG0000191	EWB00_004925, EWB00_003164, EWB00_003167	KAK4473910.1
OG0000192	EWB00_003964.1, EWB00_003964.2	KAK4471381.1
OG0000193	EWB00_003263.4, EWB00_003263.2, EWB00_003263.1, EWB00_003263.3, EWB00_003263.5, EWB00_003263.6	KAK4471157.1
OG0000193	EWB00_004005, EWB00_009649, EWB00_005224, EWB00_010853, EWB00_005225	KAK4471189.1
OG0000194	EWB00_001391	KAK4470371.1
OG0000195	EWB00_008076.1, EWB00_008076.2, EWB00_008076.3	KAK4469314.1
OG0000196	EWB00_011394.1, EWB00_011394.2, EWB00_011394.3	KAK4468938.1
OG0000196	EWB00_009417.2, EWB00_009417.1	KAK4474524.1
OG0000196	EWB00_004668.2, EWB00_004668.1	KAK4475932.1
OG0000197	EWB00_007934.6, EWB00_007934.4, EWB00_007934.2, EWB00_007934.3, EWB00_007934.1, EWB00_007934.5, EWB00_007934.7	KAK4472750.1, KAK4472751.1
OG0000198	EWB00_001112	KAK4473170.1
OG0000198	EWB00_009378.1, EWB00_009378.2, EWB00_009378.3	KAK4474280.1
OG0000199	EWB00_007850.1, EWB00_007850.2	KAK4472571.1
OG0000201	EWB00_003900.1, EWB00_003900.2, EWB00_003900.3	KAK4473643.1
OG0000202	EWB00_005354.3, EWB00_005354.1, EWB00_005354.2	KAK4469384.1
OG0000203	EWB00_003779.1, EWB00_003779.2, EWB00_003779.3	KAK4472530.1, KAK4472529.1
OG0000204	EWB00_005277	KAK4468847.1
OG0000204	EWB00_005275, EWB00_005276.1, EWB00_005276.2	KAK4468400.1, KAK4468845.1
OG0000205	EWB00_005482	KAK4475157.1
OG0000207	EWB00_006855	KAK4474093.1
OG0000207	EWB00_006859	KAK4474090.1
OG0000207	EWB00_006857	KAK4474092.1
OG0000207	EWB00_006860	KAK4474089.1
OG0000207	EWB00_006858	KAK4474091.1
OG0000208	EWB00_006604	KAK4470297.1
OG0000209	EWB00_003068	KAK4476246.1
OG0000210	EWB00_008607	KAK4468068.1
OG0000211	EWB00_008540.1, EWB00_008540.2, EWB00_008540.3, EWB00_008540.4	KAK4476043.1
OG0000212	EWB00_000254.1, EWB00_000254.2	KAK4473242.1
OG0000214	EWB00_000769.1, EWB00_000769.2, EWB00_000769.3	KAK4475773.1
OG0000215	EWB00_003195.1, EWB00_003195.2, EWB00_003195.3, EWB00_003195.4, EWB00_003195.5, EWB00_003195.6, EWB00_003193	KAK4471161.1
OG0000217	EWB00_003421.5, EWB00_003421.6, EWB00_003421.2, EWB00_003421.1, EWB00_003421.3, EWB00_003421.4, EWB00_003421.7	KAK4472243.1
OG0000218	EWB00_007629	KAK4474847.1
OG0000219	EWB00_011278.1, EWB00_011278.2	KAK4471869.1
OG0000220	EWB00_011054.2, EWB00_011054.1, EWB00_011054.3	KAK4470648.1
OG0000221	EWB00_009959, EWB00_008502	KAK4476180.1
OG0000221	EWB00_007895	KAK4467410.1
OG0000221	EWB00_007896	KAK4475529.1
OG0000222	EWB00_010985.3, EWB00_010985.4, EWB00_010985.1, EWB00_010985.2	KAK4470706.1
OG0000223	EWB00_008468	KAK4476292.1
OG0000224	EWB00_010846	KAK4475913.1
OG0000225	EWB00_008634	KAK4475585.1
OG0000226	EWB00_001463.1, EWB00_001463.2	KAK4474133.1
OG0000227	EWB00_010050	KAK4471428.1
OG0000228	EWB00_003240.1, EWB00_003240.2	KAK4473445.1
OG0000229	EWB00_007972	KAK4472065.1
OG0000230	EWB00_007125	KAK4471407.1
OG0000231	EWB00_005747.1, EWB00_005747.2, EWB00_005747.3	KAK4474331.1, KAK4475500.1, KAK4474325.1, KAK4475495.1, KAK4474330.1
OG0000231	EWB00_004990	KAK4467379.1
OG0000231	EWB00_002438.1, EWB00_002438.2, EWB00_010370, EWB00_009743, EWB00_010909, EWB00_000087, EWB00_009500, EWB00_009502, EWB00_009501, EWB00_009967, EWB00_010369.2, EWB00_010369.1, EWB00_009744, EWB00_000591, EWB00_009770, EWB00_009955, EWB00_009962	KAK4472233.1
OG0000234	EWB00_004388, EWB00_004387	KAK4473948.1
OG0000235	EWB00_009052	KAK4467350.1, KAK4475661.1
OG0000235	EWB00_009056	KAK4467339.1, KAK4467303.1, KAK4475660.1
OG0000236	EWB00_007746	KAK4469919.1
OG0000237	EWB00_006822	KAK4469703.1
OG0000238	EWB00_007715.1, EWB00_007715.2, EWB00_007715.3	KAK4473873.1
OG0000239	EWB00_002853.1, EWB00_002853.2	KAK4473024.1
OG0000240	EWB00_007941.1, EWB00_007941.2	KAK4472743.1
OG0000241	EWB00_007788.1, EWB00_007788.2, EWB00_007788.3	KAK4476019.1
OG0000241	EWB00_007787	KAK4476020.1
OG0000241	EWB00_007058.1, EWB00_007058.2	KAK4473290.1
OG0000242	EWB00_004683	KAK4475949.1
OG0000243	EWB00_006288.2, EWB00_006288.4, EWB00_006288.3	KAK4475854.1
OG0000243	EWB00_006288.1	KAK4475855.1
OG0000244	EWB00_008588	KAK4475963.1
OG0000245	EWB00_005430.3, EWB00_005430.1, EWB00_005430.2, EWB00_005430.4, EWB00_005431, EWB00_005432.2, EWB00_005432.1	KAK4475214.1
OG0000246	EWB00_003780.1, EWB00_003780.2	KAK4472531.1
OG0000247	EWB00_006352.1, EWB00_006352.2	KAK4475795.1
OG0000248	EWB00_000905.1, EWB00_000905.3, EWB00_000905.2	KAK4471206.1
OG0000249	EWB00_001035	KAK4475119.1
OG0000250	EWB00_003949.1, EWB00_003949.3, EWB00_003949.2, EWB00_003949.4	KAK4473679.1
