Orthogroup	schistosoma_japonicum	schistosoma_turkestanicum
OG0000118	EWB00_006163.1, EWB00_006163.2	STRK1_109120.1, STRK1_37860.1
OG0000118	EWB00_006161, EWB00_006160, EWB00_006162	STRK1_109130.1, STRK1_37850.1
OG0000119	EWB00_005837.4, EWB00_005837.2, EWB00_005837.3, EWB00_005837.1	STRK1_93140.1, STRK1_93140.2, STRK1_93110.2, STRK1_93110.1, STRK1_54960.1, STRK1_93100.1, STRK1_93110.4, STRK1_93110.6, STRK1_93110.3, STRK1_93110.8, STRK1_93110.5, STRK1_93110.7
OG0000120	EWB00_006006.2, EWB00_006006.1, EWB00_006006.3	STRK1_29960.1, STRK1_29960.3, STRK1_29960.2, STRK1_29960.4
OG0000122	EWB00_003485	STRK1_78300.3, STRK1_78300.1, STRK1_78300.2
OG0000123	EWB00_001234.1, EWB00_001234.2	STRK1_73130.1, STRK1_73130.2
OG0000125	EWB00_005656.2, EWB00_005656.1, EWB00_005656.3	STRK1_105470.3, STRK1_105470.1, STRK1_105470.2, STRK1_99670.1
OG0000126	EWB00_000954	STRK1_68690.1
OG0000127	EWB00_008561.1, EWB00_008561.2, EWB00_008561.3, EWB00_008561.4	STRK1_21170.3, STRK1_21170.1, STRK1_21170.2
OG0000128	EWB00_006375.2, EWB00_006375.1, EWB00_006375.5, EWB00_006375.4, EWB00_006375.3	STRK1_40900.1, STRK1_40900.3, STRK1_40900.2
OG0000129	EWB00_003410.3, EWB00_003410.5, EWB00_003410.2, EWB00_003410.6, EWB00_003410.7, EWB00_003410.8, EWB00_003410.4, EWB00_003410.1	STRK1_6050.1, STRK1_31510.1, STRK1_31510.2
OG0000130	EWB00_009336.1, EWB00_009336.2, EWB00_009336.3	STRK1_79420.1, STRK1_79420.2
OG0000131	EWB00_002108.1, EWB00_002108.2	STRK1_12320.1
OG0000131	EWB00_003089	STRK1_12290.1
OG0000132	EWB00_006847.1, EWB00_006847.2, EWB00_006847.3	STRK1_36280.1, STRK1_36280.2
OG0000133	EWB00_002574.1, EWB00_002574.2	STRK1_32070.1
OG0000134	EWB00_002521	STRK1_18540.1
OG0000135	EWB00_002678.2, EWB00_002678.1	STRK1_11780.3, STRK1_11780.4, STRK1_11780.1, STRK1_11780.2
OG0000136	EWB00_002100.1, EWB00_002100.2	STRK1_7170.1
OG0000137	EWB00_003246	STRK1_41510.1
OG0000137	EWB00_003243, EWB00_003242, EWB00_010379, EWB00_003244	STRK1_41460.1
OG0000138	EWB00_007536.1, EWB00_007536.2	STRK1_84500.1
OG0000138	EWB00_009704	STRK1_42170.1
OG0000139	EWB00_009035	STRK1_16260.1
OG0000140	EWB00_010959	STRK1_76070.1, STRK1_76070.3, STRK1_76070.2
OG0000141	EWB00_007088, EWB00_002941, EWB00_002719, EWB00_002942, EWB00_003683, EWB00_002908, EWB00_010265	STRK1_61590.1, STRK1_91760.1, STRK1_88230.1
OG0000143	EWB00_006280.1, EWB00_006280.2	STRK1_65800.1, STRK1_65810.1, STRK1_65820.1
OG0000144	EWB00_000741.1, EWB00_000741.2, EWB00_000741.3, EWB00_000741.4, EWB00_000741.5, EWB00_000741.6	STRK1_48850.1
OG0000144	EWB00_001080	STRK1_24000.1
OG0000144	EWB00_005163	STRK1_52920.1, STRK1_52940.1
OG0000145	EWB00_002936	STRK1_34490.1, STRK1_34490.2, STRK1_34500.1
OG0000146	EWB00_006706.5, EWB00_006706.4, EWB00_006706.1, EWB00_006706.2, EWB00_006706.3	STRK1_86910.1
OG0000146	EWB00_005122	STRK1_53240.1
OG0000146	EWB00_007935.1, EWB00_007935.2	STRK1_36770.2, STRK1_36770.1, STRK1_36770.3
OG0000146	EWB00_006903	STRK1_45220.1
OG0000147	EWB00_004283	STRK1_30920.1
OG0000148	EWB00_007473	STRK1_32430.1
OG0000149	EWB00_006487.1, EWB00_006487.2, EWB00_006487.3, EWB00_006487.4	STRK1_51730.1, STRK1_51730.2
OG0000151	EWB00_008868	STRK1_64060.1, STRK1_101510.3, STRK1_101510.2, STRK1_101510.1
OG0000152	EWB00_011078.3, EWB00_011078.2, EWB00_011078.1, EWB00_011078.4, EWB00_011078.5	STRK1_50880.1, STRK1_76160.1, STRK1_10370.1, STRK1_10370.2, STRK1_10370.3
OG0000153	EWB00_005352.1, EWB00_005352.2	STRK1_105080.1
OG0000153	EWB00_003676	STRK1_52110.1
OG0000154	EWB00_005454.3, EWB00_005454.1, EWB00_005454.2	STRK1_2400.1, STRK1_2400.2, STRK1_2400.3
OG0000155	EWB00_005616	STRK1_28100.2, STRK1_28100.3, STRK1_28090.1, STRK1_28100.1
OG0000156	EWB00_010322	STRK1_18130.1
OG0000156	EWB00_010321	STRK1_18120.1
OG0000157	EWB00_001166	STRK1_65550.1
OG0000157	EWB00_005728	STRK1_40030.1
OG0000157	EWB00_011201	STRK1_90020.1, STRK1_90030.1
OG0000158	EWB00_006315	STRK1_3150.1, STRK1_3150.3, STRK1_3150.2, STRK1_3150.4
OG0000159	EWB00_009175	STRK1_59740.1
OG0000160	EWB00_009370.4, EWB00_009370.1, EWB00_009370.5, EWB00_009370.2, EWB00_009370.3	STRK1_5090.1, STRK1_5070.1
OG0000161	EWB00_003371.1, EWB00_003371.2	STRK1_35710.10, STRK1_35710.11, STRK1_35710.13, STRK1_35710.14, STRK1_35710.8, STRK1_35710.9, STRK1_35710.15, STRK1_35710.1, STRK1_35710.12, STRK1_35710.2, STRK1_35710.3, STRK1_35710.4, STRK1_35710.5, STRK1_35710.6, STRK1_35710.7
OG0000164	EWB00_011122.1, EWB00_011122.2	STRK1_60530.1
OG0000164	EWB00_002005.1, EWB00_002005.2, EWB00_002005.3, EWB00_002005.4	STRK1_73910.1
OG0000164	EWB00_003801.1, EWB00_003801.2	STRK1_55190.1
OG0000164	EWB00_005981.1, EWB00_005981.2, EWB00_005981.3, EWB00_005981.5, EWB00_005981.4	STRK1_29660.1
OG0000165	EWB00_010478	STRK1_63320.1
OG0000166	EWB00_005058.4, EWB00_005058.5, EWB00_005058.3, EWB00_005058.2, EWB00_005058.6, EWB00_005058.1	STRK1_84550.1
OG0000167	EWB00_001382.4, EWB00_001382.1, EWB00_001382.2, EWB00_001382.3, EWB00_001382.5, EWB00_001382.6	STRK1_74200.2, STRK1_102190.1, STRK1_102190.2, STRK1_74200.1, STRK1_74200.3, STRK1_97390.1, STRK1_97390.2
OG0000168	EWB00_009789, EWB00_009892, EWB00_003828, EWB00_008795	STRK1_1710.1, STRK1_1710.2, STRK1_1710.3, STRK1_1710.4, STRK1_1710.5, STRK1_1330.1, STRK1_1340.1, STRK1_1720.1, STRK1_1720.2
OG0000169	EWB00_004911.1, EWB00_004911.2	STRK1_97570.1
OG0000169	EWB00_009686	STRK1_90390.1
OG0000170	EWB00_000962	STRK1_68620.1, STRK1_68630.1, STRK1_97100.1
OG0000171	EWB00_006697	STRK1_59140.1
OG0000172	EWB00_001058.1, EWB00_001058.2	STRK1_3970.1
OG0000173	EWB00_008475	STRK1_80280.1
OG0000175	EWB00_007666	STRK1_39380.1
OG0000175	EWB00_007667	STRK1_39370.1
OG0000175	EWB00_007668	STRK1_39360.1
OG0000175	EWB00_007669	STRK1_39350.1
OG0000177	EWB00_010516.1, EWB00_010516.2	STRK1_56270.2, STRK1_56270.3, STRK1_56270.4, STRK1_56270.5, STRK1_102550.1, STRK1_56270.1
OG0000178	EWB00_003718	STRK1_26540.1, STRK1_26540.3, STRK1_26540.2
OG0000179	EWB00_000893	STRK1_53790.1
OG0000179	EWB00_009104	STRK1_53800.1
OG0000180	EWB00_006753.1, EWB00_006753.2, EWB00_006754, EWB00_010162, EWB00_010163	STRK1_79000.1, STRK1_79000.2, STRK1_95040.1, STRK1_95040.2, STRK1_79010.1, STRK1_95050.1, STRK1_95060.1, STRK1_78990.1, STRK1_78980.1, STRK1_78980.2, STRK1_78990.2, STRK1_78990.3, STRK1_78990.4
OG0000180	EWB00_006750.1, EWB00_006750.2	STRK1_79020.1, STRK1_104300.1
OG0000182	EWB00_005564.3, EWB00_005564.1, EWB00_005564.2	STRK1_55980.1
OG0000182	EWB00_000643	STRK1_36970.1
OG0000183	EWB00_005958.1, EWB00_005958.2	STRK1_33950.3, STRK1_33950.1, STRK1_33950.2
OG0000184	EWB00_006467.1, EWB00_006467.2	STRK1_49380.1, STRK1_49340.1, STRK1_49330.1, STRK1_49350.1
OG0000184	EWB00_006468	STRK1_49320.1
OG0000185	EWB00_005969.1, EWB00_005969.2	STRK1_34010.1
OG0000186	EWB00_002720	STRK1_70010.1
OG0000187	EWB00_006798.2, EWB00_006798.1, EWB00_006798.3	STRK1_46740.1
OG0000188	EWB00_010904	STRK1_31940.1
OG0000189	EWB00_003827.2, EWB00_003827.1, EWB00_003827.3, EWB00_003827.4	STRK1_6200.1, STRK1_6200.6, STRK1_6200.9, STRK1_6200.2, STRK1_6200.3, STRK1_6200.4, STRK1_6200.5, STRK1_6200.11, STRK1_6200.8, STRK1_6200.13, STRK1_6200.12, STRK1_6200.10, STRK1_6200.7
OG0000190	EWB00_007758.3, EWB00_007758.1, EWB00_007758.2	STRK1_46160.1, STRK1_46160.2
OG0000191	EWB00_004926	STRK1_33090.1
OG0000191	EWB00_003159	STRK1_33020.1, STRK1_33020.2, STRK1_33020.3
OG0000191	EWB00_004925, EWB00_003164, EWB00_003167	STRK1_33080.1
OG0000192	EWB00_003964.1, EWB00_003964.2	STRK1_64420.1
OG0000193	EWB00_003263.4, EWB00_003263.2, EWB00_003263.1, EWB00_003263.3, EWB00_003263.5, EWB00_003263.6	STRK1_55830.1
OG0000194	EWB00_001391	STRK1_74260.1
OG0000195	EWB00_008076.1, EWB00_008076.2, EWB00_008076.3	STRK1_50680.1, STRK1_50680.2
OG0000196	EWB00_011394.1, EWB00_011394.2, EWB00_011394.3	STRK1_2310.1, STRK1_87510.1
OG0000196	EWB00_009417.2, EWB00_009417.1	STRK1_11370.1
OG0000197	EWB00_007934.6, EWB00_007934.4, EWB00_007934.2, EWB00_007934.3, EWB00_007934.1, EWB00_007934.5, EWB00_007934.7	STRK1_36760.1
OG0000198	EWB00_001112	STRK1_99590.1, STRK1_24300.1
OG0000199	EWB00_007850.1, EWB00_007850.2	STRK1_31630.1, STRK1_31630.2
OG0000201	EWB00_003900.1, EWB00_003900.2, EWB00_003900.3	STRK1_106540.1, STRK1_38650.1, STRK1_106550.1, STRK1_106550.2
OG0000202	EWB00_005354.3, EWB00_005354.1, EWB00_005354.2	STRK1_49150.1
OG0000203	EWB00_003779.1, EWB00_003779.2, EWB00_003779.3	STRK1_79300.3, STRK1_79300.2, STRK1_79300.1
OG0000204	EWB00_005277	STRK1_83900.1, STRK1_83910.1
OG0000204	EWB00_005275, EWB00_005276.1, EWB00_005276.2	STRK1_83950.1, STRK1_83890.1
OG0000205	EWB00_005482	STRK1_2090.1
OG0000206	EWB00_003373.1	STRK1_35690.1, STRK1_35690.3
