Orthogroup	fasciola_hepatica	schistosoma_guineensis
OG0000088	FhHiC23_g5522.t1	SGUI1_3040.1, SGUI1_3040.2, SGUI1_3020.10, SGUI1_3020.9, SGUI1_3020.4, SGUI1_3020.5, SGUI1_3020.6, SGUI1_3020.7, SGUI1_3020.2, SGUI1_3020.8, SGUI1_3020.1, SGUI1_3020.3
OG0000090	FhHiC23_g954.t1, FhHiC23_g954.t2	SGUI1_50060.13, SGUI1_50060.3, SGUI1_50060.9, SGUI1_50060.11, SGUI1_50060.16, SGUI1_50060.15, SGUI1_50060.1, SGUI1_50060.14, SGUI1_50060.2, SGUI1_50060.4, SGUI1_50060.5, SGUI1_50060.8, SGUI1_50060.7, SGUI1_50060.12, SGUI1_50060.6, SGUI1_50060.10
OG0000091	FhHiC23_g1072.t1, FhHiC23_g1072.t3, FhHiC23_g1072.t4, FhHiC23_g1072.t5, FhHiC23_g1072.t2	SGUI1_47840.7, SGUI1_47840.9, SGUI1_47840.10, SGUI1_47840.3, SGUI1_47840.2, SGUI1_47840.1, SGUI1_47840.6, SGUI1_47840.8, SGUI1_47840.4, SGUI1_47840.5
OG0000092	FhHiC23_g12946.t1, FhHiC23_g12946.t2	SGUI1_2250.1, SGUI1_2240.1
OG0000092	FhHiC23_g12156.t1, FhHiC23_g12156.t3, FhHiC23_g12156.t2	SGUI1_12290.3, SGUI1_12290.1, SGUI1_12290.2
OG0000093	FhHiC23_g5402.t1, FhHiC23_g5404.t1	SGUI1_40090.1
OG0000093	FhHiC23_g6196.t1, FhHiC23_g5957.t1	SGUI1_39230.1, SGUI1_39170.1, SGUI1_39180.1, SGUI1_39220.1, SGUI1_39240.1, SGUI1_39160.1, SGUI1_39260.1, SGUI1_39190.1, SGUI1_39200.1, SGUI1_39210.1
OG0000094	FhHiC23_g11975.t1, FhHiC23_g11975.t2	SGUI1_7960.4, SGUI1_7960.6, SGUI1_7960.1, SGUI1_7960.7, SGUI1_7960.3, SGUI1_7960.5, SGUI1_7960.2
OG0000095	FhHiC23_g7183.t1	SGUI1_61880.6, SGUI1_61880.3, SGUI1_61880.1, SGUI1_61880.2, SGUI1_61880.7, SGUI1_61880.8, SGUI1_61880.4, SGUI1_61880.10, SGUI1_61880.9, SGUI1_61880.11, SGUI1_61880.5, SGUI1_61880.12
OG0000096	FhHiC23_g5432.t1, FhHiC23_g5432.t2	SGUI1_35170.2, SGUI1_35170.1, SGUI1_35170.3, SGUI1_35170.8, SGUI1_35170.6, SGUI1_35170.7, SGUI1_35170.5, SGUI1_35170.4
OG0000097	FhHiC23_g11521.t1	SGUI1_6600.1
OG0000098	FhHiC23_g4954.t1, FhHiC23_g4955.t1	SGUI1_41100.1, SGUI1_41090.1
OG0000098	FhHiC23_g4952.t1, FhHiC23_g8191.t1, FhHiC23_g8190.t1	SGUI1_67180.1, SGUI1_67180.5, SGUI1_67180.4, SGUI1_67180.3, SGUI1_67180.2, SGUI1_67180.6
OG0000099	FhHiC23_g7671.t2, FhHiC23_g7671.t1, FhHiC23_g7671.t3	SGUI1_68110.1, SGUI1_68110.2, SGUI1_68110.3, SGUI1_68110.4
OG0000099	FhHiC23_g1666.t1, FhHiC23_g1666.t2, FhHiC23_g1666.t3, FhHiC23_g1666.t4	SGUI1_72250.1
OG0000102	FhHiC23_g13582.t1	SGUI1_5540.1, SGUI1_5540.2, SGUI1_5540.4, SGUI1_5540.8, SGUI1_5540.10, SGUI1_5540.11, SGUI1_5540.3, SGUI1_5540.5, SGUI1_5540.6, SGUI1_5540.7, SGUI1_5540.9
OG0000102	FhHiC23_g7758.t1	SGUI1_58960.2, SGUI1_58960.1, SGUI1_58960.3, SGUI1_58960.4
