Orthogroup	opisthorchis_viverrini	schistosoma_guineensis
OG0000052	T265_04421	SGUI1_3230.1
OG0000052	T265_02480	SGUI1_1680.3, SGUI1_1680.2, SGUI1_1680.1
OG0000052	T265_06797	SGUI1_67400.1
OG0000053	T265_11166	SGUI1_18130.1, SGUI1_18130.10, SGUI1_18130.11, SGUI1_18130.16, SGUI1_18130.3, SGUI1_18130.9, SGUI1_18130.13, SGUI1_18130.17, SGUI1_18130.7, SGUI1_18130.18, SGUI1_18130.19, SGUI1_18130.12, SGUI1_18130.2, SGUI1_18130.4, SGUI1_18130.6, SGUI1_18130.8, SGUI1_18130.14, SGUI1_18130.15, SGUI1_18130.5
OG0000055	T265_07023	SGUI1_69140.1, SGUI1_69130.1
OG0000058	T265_07455	SGUI1_90500.1, SGUI1_90500.2
OG0000058	T265_13746	SGUI1_80950.1
OG0000060	T265_13025	SGUI1_65800.18, SGUI1_65800.19, SGUI1_65800.23, SGUI1_65800.24, SGUI1_65800.26, SGUI1_65800.3, SGUI1_65800.33, SGUI1_65800.42, SGUI1_65800.5, SGUI1_65800.6, SGUI1_65800.12, SGUI1_65800.13, SGUI1_65800.14, SGUI1_65800.31, SGUI1_65800.32, SGUI1_65800.40, SGUI1_65800.1, SGUI1_65800.21, SGUI1_65800.22, SGUI1_65800.29, SGUI1_65800.36, SGUI1_65800.37, SGUI1_65800.38, SGUI1_65800.39, SGUI1_65800.4, SGUI1_65800.7, SGUI1_65800.8, SGUI1_65800.17, SGUI1_65800.11, SGUI1_65800.15, SGUI1_65800.20, SGUI1_65800.34, SGUI1_65800.35, SGUI1_65800.10, SGUI1_65800.27, SGUI1_65800.41, SGUI1_65800.9, SGUI1_65800.16, SGUI1_65800.25, SGUI1_65800.28, SGUI1_65800.2, SGUI1_65800.30
OG0000061	T265_02884	SGUI1_52750.1
OG0000062	T265_10452	SGUI1_5830.12, SGUI1_5830.8, SGUI1_5830.14, SGUI1_5830.7, SGUI1_5830.3, SGUI1_5830.10, SGUI1_5830.11, SGUI1_5830.13, SGUI1_5830.15, SGUI1_5830.16, SGUI1_5830.5, SGUI1_5830.6, SGUI1_5830.1, SGUI1_5830.17, SGUI1_5830.2, SGUI1_5830.4, SGUI1_5830.19, SGUI1_5830.18, SGUI1_5830.9
OG0000063	T265_09823	SGUI1_39350.7, SGUI1_39350.3, SGUI1_39350.14, SGUI1_39350.9, SGUI1_39350.1, SGUI1_39350.10, SGUI1_39350.12, SGUI1_39350.11, SGUI1_39350.6, SGUI1_39350.8, SGUI1_39350.5, SGUI1_39350.13, SGUI1_39350.4, SGUI1_39350.2
OG0000065	T265_05693, T265_07607, T265_14333, T265_14334, T265_14335	SGUI1_22640.2, SGUI1_22640.1, SGUI1_22660.1, SGUI1_22690.6, SGUI1_22690.4, SGUI1_22690.7, SGUI1_22690.8, SGUI1_22680.1, SGUI1_22690.5, SGUI1_22690.1, SGUI1_22690.3, SGUI1_22690.2
OG0000066	T265_07972	SGUI1_36990.15, SGUI1_36990.20, SGUI1_36990.5, SGUI1_36990.8, SGUI1_36990.10, SGUI1_36990.21, SGUI1_36990.1, SGUI1_36990.11, SGUI1_36990.4, SGUI1_36990.9, SGUI1_36990.14, SGUI1_36990.12, SGUI1_36990.16, SGUI1_36990.13, SGUI1_36990.19, SGUI1_36990.6, SGUI1_36990.17, SGUI1_36990.3, SGUI1_36990.7, SGUI1_36990.18, SGUI1_36990.2
OG0000068	T265_12520	SGUI1_54050.1
OG0000068	T265_06616	SGUI1_95000.1
OG0000068	T265_13582	SGUI1_36450.2, SGUI1_36450.3, SGUI1_36450.1, SGUI1_36450.4
OG0000068	T265_03815	SGUI1_28390.1
OG0000070	T265_10197	SGUI1_43740.12, SGUI1_43740.10, SGUI1_43740.4, SGUI1_43740.8, SGUI1_43740.3, SGUI1_43740.7, SGUI1_43740.11, SGUI1_43740.5, SGUI1_43740.9, SGUI1_43740.2, SGUI1_43740.1, SGUI1_43740.6
OG0000071	T265_11263, T265_11264	SGUI1_33980.13, SGUI1_33980.3, SGUI1_33980.4, SGUI1_33980.1, SGUI1_33980.10, SGUI1_33980.11, SGUI1_33980.12, SGUI1_33980.14, SGUI1_33980.15, SGUI1_33980.2, SGUI1_33980.5, SGUI1_33980.7, SGUI1_33980.8, SGUI1_33980.9, SGUI1_33980.18, SGUI1_33980.6, SGUI1_33980.17, SGUI1_33980.19, SGUI1_33980.20, SGUI1_33980.16
OG0000072	T265_13598	SGUI1_89930.2, SGUI1_89930.3, SGUI1_89930.9, SGUI1_89930.8, SGUI1_89930.4, SGUI1_89930.7, SGUI1_89930.13, SGUI1_89930.6, SGUI1_89930.11, SGUI1_89930.12, SGUI1_89930.14, SGUI1_89930.15, SGUI1_89930.10, SGUI1_89930.5, SGUI1_89930.1
OG0000073	T265_11926	SGUI1_55590.1, SGUI1_55600.1
OG0000074	T265_06662	SGUI1_1260.3, SGUI1_1260.2, SGUI1_1260.1
OG0000074	T265_09755	SGUI1_88410.1
OG0000074	T265_14825	SGUI1_10520.1
OG0000074	T265_13709	SGUI1_88510.1
OG0000075	T265_02596	SGUI1_33710.2, SGUI1_33710.1, SGUI1_33710.11, SGUI1_33710.12, SGUI1_33710.13, SGUI1_33710.3, SGUI1_33710.5, SGUI1_33710.6, SGUI1_33710.7, SGUI1_33710.8, SGUI1_33710.10, SGUI1_33710.4, SGUI1_33710.9
OG0000076	T265_01838	SGUI1_91190.1
OG0000076	T265_09657, T265_14927	SGUI1_3900.1
OG0000077	T265_07170	SGUI1_9990.1
OG0000078	T265_10237, T265_16023	SGUI1_5180.1, SGUI1_5180.2, SGUI1_5180.3, SGUI1_5170.1
OG0000079	T265_03623	SGUI1_30470.1
OG0000079	T265_11700	SGUI1_54120.1
OG0000080	T265_07150, T265_07149	SGUI1_44150.1
OG0000081	T265_01189, T265_06107, T265_02619, T265_12063	SGUI1_12320.1, SGUI1_19810.1, SGUI1_56350.1, SGUI1_71020.1, SGUI1_80400.1, SGUI1_20570.1, SGUI1_25980.1, SGUI1_44110.1, SGUI1_47550.1, SGUI1_81680.1
OG0000082	T265_13150	SGUI1_9680.10, SGUI1_9680.11, SGUI1_9680.13, SGUI1_9680.14, SGUI1_9680.4, SGUI1_9680.1, SGUI1_9680.12, SGUI1_9680.15, SGUI1_9680.17, SGUI1_9680.18, SGUI1_9680.19, SGUI1_9680.6, SGUI1_9680.7, SGUI1_9680.9, SGUI1_9680.16, SGUI1_9680.2, SGUI1_9680.3, SGUI1_9680.5, SGUI1_9680.8
OG0000085	T265_03464, T265_13261, T265_16244	SGUI1_36330.5, SGUI1_36330.6, SGUI1_36330.1, SGUI1_36330.10, SGUI1_36330.11, SGUI1_36330.13, SGUI1_36330.14, SGUI1_36330.15, SGUI1_36330.16, SGUI1_36330.17, SGUI1_36330.18, SGUI1_36330.2, SGUI1_36330.7, SGUI1_36330.8, SGUI1_36330.9, SGUI1_36330.12, SGUI1_36330.3, SGUI1_36330.4, SGUI1_36330.19
OG0000086	T265_13900	SGUI1_73460.10, SGUI1_73460.11, SGUI1_73460.5, SGUI1_73460.7, SGUI1_73460.12, SGUI1_73460.8, SGUI1_73460.9, SGUI1_73460.6, SGUI1_73460.3, SGUI1_73460.1, SGUI1_73460.4, SGUI1_73460.2
OG0000087	T265_01347, T265_12258	SGUI1_53090.11, SGUI1_53090.16, SGUI1_53090.3, SGUI1_53090.10, SGUI1_53090.9, SGUI1_53090.1, SGUI1_53090.13, SGUI1_53090.6, SGUI1_53090.17, SGUI1_53090.14, SGUI1_53090.15, SGUI1_53090.2, SGUI1_53090.4, SGUI1_53090.12, SGUI1_53090.5, SGUI1_53090.7, SGUI1_53090.8
OG0000090	T265_02657, T265_14540	SGUI1_50060.13, SGUI1_50060.3, SGUI1_50060.9, SGUI1_50060.11, SGUI1_50060.16, SGUI1_50060.15, SGUI1_50060.1, SGUI1_50060.14, SGUI1_50060.2, SGUI1_50060.4, SGUI1_50060.5, SGUI1_50060.8, SGUI1_50060.7, SGUI1_50060.12, SGUI1_50060.6, SGUI1_50060.10
OG0000091	T265_04053	SGUI1_47840.7, SGUI1_47840.9, SGUI1_47840.10, SGUI1_47840.3, SGUI1_47840.2, SGUI1_47840.1, SGUI1_47840.6, SGUI1_47840.8, SGUI1_47840.4, SGUI1_47840.5
OG0000092	T265_14035, T265_15099	SGUI1_2250.1, SGUI1_2240.1
OG0000092	T265_03205	SGUI1_12290.3, SGUI1_12290.1, SGUI1_12290.2
OG0000093	T265_08704	SGUI1_40090.1
OG0000093	T265_06064, T265_06061, T265_06063	SGUI1_39230.1, SGUI1_39170.1, SGUI1_39180.1, SGUI1_39220.1, SGUI1_39240.1, SGUI1_39160.1, SGUI1_39260.1, SGUI1_39190.1, SGUI1_39200.1, SGUI1_39210.1
OG0000094	T265_06493	SGUI1_7960.4, SGUI1_7960.6, SGUI1_7960.1, SGUI1_7960.7, SGUI1_7960.3, SGUI1_7960.5, SGUI1_7960.2
OG0000095	T265_08487	SGUI1_61880.6, SGUI1_61880.3, SGUI1_61880.1, SGUI1_61880.2, SGUI1_61880.7, SGUI1_61880.8, SGUI1_61880.4, SGUI1_61880.10, SGUI1_61880.9, SGUI1_61880.11, SGUI1_61880.5, SGUI1_61880.12
OG0000096	T265_09813	SGUI1_35170.2, SGUI1_35170.1, SGUI1_35170.3, SGUI1_35170.8, SGUI1_35170.6, SGUI1_35170.7, SGUI1_35170.5, SGUI1_35170.4
OG0000097	T265_02082	SGUI1_6600.1
OG0000098	T265_08810	SGUI1_41100.1, SGUI1_41090.1
OG0000098	T265_16367, T265_15515	SGUI1_67180.1, SGUI1_67180.5, SGUI1_67180.4, SGUI1_67180.3, SGUI1_67180.2, SGUI1_67180.6
OG0000099	T265_01131	SGUI1_68110.1, SGUI1_68110.2, SGUI1_68110.3, SGUI1_68110.4
OG0000099	T265_02321	SGUI1_72250.1
OG0000100	T265_01718, T265_12828, T265_02576, T265_09906, T265_10486, T265_07629, T265_10449, T265_09422, T265_04081, T265_09668, T265_02760, T265_07706, T265_15652, T265_03881, T265_14806, T265_05591, T265_05593, T265_08547, T265_04719, T265_13689, T265_03900, T265_06984, T265_07013, T265_04157, T265_02988, T265_00793, T265_09581, T265_14848, T265_07470, T265_06401, T265_05151, T265_08670, T265_04685, T265_13803, T265_13898, T265_11793, T265_12998, T265_00771, T265_03757, T265_14227, T265_14687, T265_09424, T265_00974, T265_05815, T265_15111, T265_11997, T265_14547, T265_02752, T265_09656, T265_12469, T265_04752, T265_12205, T265_00191, T265_15675, T265_03588, T265_07316, T265_01706, T265_05675, T265_06264, T265_08852, T265_05587, T265_07376, T265_14876, T265_09636	SGUI1_47610.1, SGUI1_84170.1
OG0000102	T265_01574	SGUI1_5540.1, SGUI1_5540.2, SGUI1_5540.4, SGUI1_5540.8, SGUI1_5540.10, SGUI1_5540.11, SGUI1_5540.3, SGUI1_5540.5, SGUI1_5540.6, SGUI1_5540.7, SGUI1_5540.9
OG0000102	T265_05632	SGUI1_58960.2, SGUI1_58960.1, SGUI1_58960.3, SGUI1_58960.4
OG0000103	T265_13207	SGUI1_74500.11, SGUI1_74500.9, SGUI1_74500.6, SGUI1_74500.7, SGUI1_74500.2, SGUI1_74500.3, SGUI1_74500.1, SGUI1_74500.10, SGUI1_74500.5, SGUI1_74500.8, SGUI1_74500.4
OG0000105	T265_07815, T265_03022	SGUI1_7260.8, SGUI1_7260.4, SGUI1_7260.7, SGUI1_7260.6, SGUI1_7260.1, SGUI1_7260.3, SGUI1_7260.5, SGUI1_7260.2
OG0000107	T265_07863	SGUI1_56630.1
OG0000107	T265_07360	SGUI1_49420.3
OG0000108	T265_04554, T265_13536	SGUI1_7790.1
OG0000110	T265_08891, T265_08892	SGUI1_29610.1, SGUI1_29610.2, SGUI1_29580.1
OG0000110	T265_08890	SGUI1_29630.1, SGUI1_29630.2, SGUI1_29630.3
OG0000111	T265_09132	SGUI1_41190.1
OG0000111	T265_08991, T265_14719	SGUI1_31010.1, SGUI1_31010.2
OG0000112	T265_10678	SGUI1_84190.1, SGUI1_84190.5, SGUI1_84190.2, SGUI1_84190.3, SGUI1_84190.4
OG0000114	T265_15923, T265_05226, T265_11486	SGUI1_94910.5, SGUI1_94910.1, SGUI1_94910.2, SGUI1_94910.3, SGUI1_94910.4, SGUI1_94910.6, SGUI1_94910.7, SGUI1_94910.8, SGUI1_94910.9, SGUI1_94910.10, SGUI1_94910.11
OG0000115	T265_14637	SGUI1_36570.1
